5 cyclodecane C C_0 C C_2 C_3 C_4 C_5 C_1_6 C_2 C_0_8 H_8 H_8 H_9 H_9 H_0 H_0 H_1 H_1 H_7 H_7 H_2 H_3 H_3 H_4 H_4 H_5 H_5 H_6 H_2 H_6
48 5-methyl-2-(4-methylphenyl)-1,3-benzoxazole C C_0_0 C C_2 C C_0_4_4 C_1 C_4_6_6 C_3_3 C_3 C C_8_10_10 C_9_9_10 C_4 C_10 H_5 H_6 H_7 H_8 H_9 H_11 H_12 H_13 H_13 H_13 H_14 H_14 H_14 N_0_2_2 O_1_2
78 methylcyclooctanecarboxylate C C_0 C_0 C_1 C_2 C_3 C_4 C_5_6 C_0 C H_0 H_2 H_2 H_1 H_1 H_3 H_3 H_4 H_4 H_5 H_5 H_6 H_6 H_7 H_7 H_9 H_9 H_9 O_8_9 O_8_8
103 1-[4-amino-5-(4-fluorophenyl)-2-methyl-1~{H}-pyrrol-3-yl]ethanone C C C_1_1 C_0_0_1 C_0 C_2 C_1 C_4_4 C_4 C_6 C_7 C_8_8 C_10_10_11 F_12 H H_5 H_5 H_5 H_7 H_8 H H H_9 H_9 H_9 H_10 H_11 N_0_2_14 N_3_20_21 O_6_6
153 3-(butylamino)propyliminomethanedithiol C C_0 C C_2 C_1 C_3 C_4 C H_0 H_0 H_1 H_1 H_2 H_2 H H_3 H_3 H_4 H_4 H_5 H_5 H_6 H_6 H_6 H H N_0_2_14 N_5_7_7 S_7_24 S_7_25
159 silver;[(4-aminophenyl)-oxo-oxoniumylidene-$l^{6}-sulfanyl]-pyrimidin-2-ylazaniu Ag C C C_1_1 C_1 C C_3 C_4_4 C_6_6_7 C_5_5 C_9 H H H H_3 H_4 H_5 H_6 H_7 H_9 H_10 H H N_2_11_12 N_0_2_2_5 N_2_10_10 N_8_21_22 O_0_13 O S_27_27_28_28_23_1
170 ~{N}-propan-2-ylidene-3-prop-1-en-2-ylbenzamide C C C_0_0_1 C_0 C_0 C_1_1 C_4_4_5 C_1 C_3 C C_3_3 C_9 C_9 H_2 H_4 H_5 H_6 H_8 H_8 H_8 H_10 H_10 H_11 H_11 H_11 H_12 H_12 H_12 N_7_9_9 O_7_7
224 (2,4-dichlorophenoxy)-diethoxy-sulfanylidene-$l^{5}-phosphane C C C C_0_0 C_0 C_1 C_2 C_3 C_4_4 C_7_7_8 Cl_3 Cl_9 H_1 H_1 H_2 H_2 H_4 H_5 H_5 H_5 H_6 H_6 H_6 H_7 H_8 O_0 O_1 O_2 P_25_26_27 S_28_28
255 ~{N}'-(benzenesulfonyl)pyridine-3-carbohydrazide C C_0_0 C_0 C_1 C_2_2 C C_5 C_3_3_4 C_5 C_5_5 C_8_8 C_10 H H_1 H_2 H H_3 H_4 H_7 H_8 H_9 H_10 H_11 N_12 N_23_6_15 N_9_11_11 O O O_6_6 S_26_26_27_27_23_0
269 2-(2,4-dimethylphenyl)ethylurea C C_0 C_0_0 C_1 C_0 C_2 C_5_5 C_4_4_6 C_2 C_6 C H_1 H_1 H_3 H_3 H_4 H_5 H_7 H_8 H_8 H_8 H H_9 H_9 H_9 H H N_3_10_21 N_10_25_26 O_10_10
370 5-but-2-enyl-5-prop-2-enyl-2-sulfanyl-1~{H}-pyrimidine-4,6-dione C C_0 C_0 C_0 C_0 C_1 C_2 C C_5_5 C_6_6 C_8 H_1 H_1 H_2 H_2 H_5 H H_6 H_8 H_9 H_9 H_10 H_10 H_10 H N_3_7_16 N_4_7_7 O_3_3 O_4_4 S_7_24
